상호명,url,score,review_cnt,pos,review
노란고무줄,https://m.place.naver.com/restaurant/36864316,4.45,403,선릉역,음료가 저렴한편이고 맛있습니다~ 남자분 와플 넘 대충 발라줘요...ㅋㅋㅋ 와플 바로바로 구워주는 곳 크림듬뿍 맛있어요! 팥호두과자 맛나요 누텔라호두과자 다섯개 중에 두개 누텔라 아예 안들어있음요ㅠㅠ 버블티가 맛있는 집이에요~~~ 와플 바삭하고 맛있어요!! 친절 좋아요 좋아요 
터치카페,https://m.place.naver.com/restaurant/142540298,N,N,N,N
밀크포차,https://m.place.naver.com/restaurant/37171831,0,30,압구정로데오역,"다른 식당들은 사람들이 꽉차서.. 힘들게 여기로 왔는데 의외로 너무 괜찮았어요! 순두부수제비, 깐풍기 시켰는데 기본적으로 안주가 전부 다 맛있네요😋 다만 화장실이 외부에 있고 다른 식당들과 공용이라서 많이 기다려야 하는게 불편했어요ㅜㅜ 꼬치 오뎅탕 추천해요~ 따뜻하고 편하게 술 마시기에 좋아요 ㅎㅎ 다른 테이블 걸로 계산 돼서 금액 보고 당황했는데 다행히 바로 취소 됐어요 옛날생각나는 포차:) 술안주로 딱인 낙지볶음👍🏻 압구정 안주가 대부분 비싸긴 하지만 소주가 6천원 넘는곳 첨봤어요 😂
계란말이에 햄 들어가서 맛있는데 계란이 통통한 편은 아닙니당 🥚 압로 유일의 다양한 안주를 가진 곳~
편하게? 갈수 있는 느낌의 술집이에요ㅋㅋㅋㅋ원래 있던 곳에서 장소 옮겨서 그런지 더 사람 북적하네요! 치즈 계란말이 술이 술술들어가요👍🏻 맛도 괜찮고 직원분도 친절하세요! 대화하기에도 좋고 편안한 분위기입니다 :) 단 화장실이 식당이 아니라 건물 내 화장실을 사용한다는 점 참고하고 가시면 될 것 같아요. 시끄럽고 비싸요. 김치전은 겉바속촉인데 너무 달았어요. 순살 후라이드 추천해요❗️
닭도 부드럽고, 피도 얇아요👍🏻
다만, 모든 메뉴들이 가격 단일화?가 되어 있어서 (계란말이가 20,000원;;) 이 부분이 쪼금🥲 부대찌개 존맛이예요!!! 밥까지 말아서 샤샤샥 ㅋㅋㅋ
요 주변에 비싸기만하고 맛없는곳 많았는데 돈값하는거 같아요ㅋㅋㅋ 안주비쌈 "
이조한아름갈비,https://m.place.naver.com/restaurant/33674982,4.16,144,선정릉역,"대창 크기 무엇!!!! 느끼하지도 않고 넘 맛있었어요
곱창에 곱도 완전 꽉꽉 채워져있었고 육회랑 우삼겹인가 진짜 다 맛있었어요!!!! 점심시간에 곱창뚝배기 먹었는데 맛있어요✨
계란후라이 셀프 좋아요👍🏻😎 집앞에 생겨서 저녁에 방문!!! 사장님 직원분 모두가 친절한걸떠나 포근함그자체~ 시계모양 철판도 너무신선했고 설명도 자세히 해주셨어요(철판의 비밀은 방문해서 듣어보세요 비밀입니다) 무엇보다 곱창이 여태먹은 곱창은 곱 창도아니였어요 느끼하지않고 부드럽고 쫄깃하고 곱도그득 너무너무너무 맛있었어요 동생들이랑 가서 완전... 곱창 많이 좋아해서 찾아다니면서 먹는데, 너무 너무 맛있었어요~~ 육회도 넘넘 맛나고 대창은 평소 즐겨먹진 않 는데 여긴 대창이 너무 고소하고 질기지 않아서 입에서 사르르 녹는 느낌이예요. 맛있어서 깜놀! 곱창은… 진짜 너 무 너무 맛있어요 ㅜㅜ 알차게 들어찬 곱과 적절하게 쫄깃한 곱창이 환상적이네요. 최고최고!! 대창과 곱창... 새로생겨서 가봤는데 곱창 먹기 좋아요. 맛있습니다. 점심 식사하러 가끔가는데 곱창뚝배기 너무맛있어요!! 소스가 신의 한수네여 먹느라 음식사진 못찍어서 걸려있는 사진 찍은건데 실제와 똑같아요.
골고루 나와서 맛보기 좋고 재밌네요. 
물론 맛있구요. 하남에서 맛있게 먹었었는데,선정릉에도 생기다니, 완전 좋네요
한우 육회 먹고 시계방향으로 먹는거 재밌네요. 직원분들도 완전 친절하고 가보시는거 강추합니다. 번창하세요~^^ 젊은 분위기에 얘기나누며 술한잔 하기 좋습니다. 11월에 새로 오픈한 곱창집. 점심 식사로 얼큰소고기국밥 시켰는데 고기는 부스러기만 있고.. 야채는 파 밖에 없네 요. 국밥이면 시래기나 얼갈이 정도는 들어가면 좋겠어요 ㅋ 그리고 일하시는 분들 너무 손이 느리세요... 테이블이 비어있는데도 밖에서 사람이 기다려야 하는 건.. 잠깐의 점심시간이 황금같은 직장인에게 너무 괴롭네요. 앉... "
홈스테드,https://m.place.naver.com/restaurant/33647114,N,N,N,N
한우곱창,https://m.place.naver.com/restaurant/36040114,4.44,152,대청역,"어무이가 별품곱창 좋아하셔서 자주 찾는데 오늘은 그동안 먹었던 날 보다 더 맛있더라구요 곱창에 곱도 많구 대창 도 너무 크지 않아 먹기 좋았어요 전에 먹었을 땐 막창은 좀 질겨서 사장님께 말씀 드렸었는데 오늘은 질기지도 않 더라구요 요기 떡은 최강입니다 감자 빼고 떡만 넣어달라 했더니 떡만 주셨어요 넘나 감사 갈수록 맛있어져... 별곱 ㅠㅠ 진짜 소곱창 집 다른 곳 안가고 전 여기서만 먹어요..❤️ 진짜 맛있고 양도 혜자.. 저 흰색 마약가루가 레전드 존맛탱입니다😚 다른 곱창집보다 좀 더 저렴한 것 같구.. ㅠㅠ 쫄깃하니 좋아요 떡&감자추가 필수 ! 😉 와이프와 맛있게 먹었던 기억이 있어서 4년만에 방문 했습니다. 많이 변했네요. 중량은 줄고 가격은 비싸진건 물가 상승이라 이해 합니다. 특별한 상차림으로 시켰는데 곱창은 없고 대 부분 대창 입니다. 곱창을 좋아하는 저희로써는 아쉬 웠습니다. 그나마 조금 있는 곱창은 아예 곱이 없네요. 돼지 막창인줄 알알았습니다. 좋은 추억이 있어 ... 쏘쏘했어요. 맛있어요 굿굿 좋아요 전반적으로 다 괜찮긴 했는데 막창은 진짜 도저히 먹을 수가 없었어요🚫 씹어도 씹어도 씹어지지가 않았어요 도
저히 삼킬 수가 없어서 다 뱉었어요 같이 간 남자친구도 먹어본 막창중에 제일 질기다고 했습니다..결국 막창은 다 
남겼ㅇㅓ요....돈이 아까워요....👿👿 좋아요 너무 너무 잘먹고 왔어요 
무한리필로 주는 사리넣은 국도 넘 맛있어여 "
커피팩토리,https://m.place.naver.com/restaurant/52907053,4.6,25,학동역,친절하시고 커피맛도 좋아요~ 굿 라떼 맛잇어요 정말정말 맛있는 스페셜티 커피를 마실 수 있는 곳!! 산미도 좋고 향도 좋고 분위기도 너무 좋아요 근방에서 라떼 젤 부드러운 집! 추운날 따뜻한 모카도 역시 맛잇어요 드립맛있어요 라떼 맛잇어요! 매일와도 좋아요!!! 
곰바위,https://m.place.naver.com/restaurant/11540780,4.36,915,봉은사역,"곱창국밥, 특양구이,대창구이,막창구이,레몬소주, 사이다주문했습니다 대표메뉴답게 특양구이가 제일맛있었고 그 다음에 대창,막창순이네요. 곱창국밥은 중간중간 입가심하기 좋았습니다. 곱창이 푸짐하게들어갔어요 특양구이는 송이버섯구이마냥 부드럽고 오독한식감이었고 대창구이는 오래구웠으나 쫄깃했습니다. 막창구이는 오래씹... 양이 적긴 한데 대창이 실하고 구워줘서 좋아요. 냉면이랑 된장찌개도 맛있고. 주차 발렛 3000원. 화장실이 좋은건 플러스! 근데 직원 분들은 까칠해요. 갈비탕22000
갈때마다 늘 먹는 점심메뉴에요! 추천할만큼 맛있어요! 쌀쌀한 저녁날씨에 뜨끈한 곱창전골이 맛있고, 서비스가 좋아요^^ 모임하기 좋을거 같아요~ 고기랑 대창도 다 구워주시고 친절하시고 맛있게 식사하고 왔습니다! 오랜만에 친구들과 만나서 맛있게 잘 먹었습니다. 룸도 넓고 프라이빗 해서 좋네요. 화장실 보고 좋아서 깜짝 놀랬네요ㅋㅋ 비오는 날엔 곱창전골 ... 오랜만에 와도 여전히 붐비고 맛있네요^^ 늘 신선하고 맛있는 곰바위 좋아요
감사합니다 가겨은 사악하지만
맛있어서 용서되는^^~~~맛난곳😘 점심먹기조아용 근데좀 비싼듯 "
숙아채콩나물국밥,https://m.place.naver.com/restaurant/13101198,N,N,N,N
커피빈,https://m.place.naver.com/restaurant/19562965,4.43,"1,080",압구정로데오역,"청담동 커피빈.가격은 좀 있어요 처음 와보는데
매장이 이뻐요 음악이 좋네요. 
드립커피 아이스도 괜츈. ㅎㅎ 송은 갤러리 바로 뒷편 아..1회용컵 빠이~~ 네이버로 미리 주문하고 픽업하러 갔는데 20분을 기다려도 안나오길래 왜 안나오는지 여쭤보니 나이 있으신 직원 분은 죄송하다고 말씀하시는데 젊은 여자직원분은 기다리라고만하고 말투에 짜증이 섞여 있어서 기분 나쁘네요 바 빠보여서 최대한 더 기다렸다가 여쭤봤는데 물어봤다고 짜증내는게 정상인가요? 한번 더 참고 기다렸다가 ... 알바가 너무 적음 한명이 어떻게 감당함? 커피 맛있어요 ㅎㅎ 맛있어요~!매장도 깔끔합니다 일요일 낮에도 사람이 많지않아서 한적하고 좋아요. "
커피빈,https://m.place.naver.com/restaurant/36948687,4.39,954,역삼역,"커피 맛있어요 역삼역 나오자마자 있어서 접근성도 좋고, 직원분들도 친절하고 커피도 맛있어요^^ 큰카페ㅎ 아메리카노 맛나요
오전 남자 직원분 조금만... 친절하게 응대해주셨으면 합니다.. 출근 전 들렀는데 조금 맘 상했네요 커피도 맛있고
매장넓고 대화하기 좋아요 매장이 넓어요~ 커피 맛있어요 텀블러 사용해서 이용했습니다 . 커피도 맛나고 좋아요 . BUT 키오스크 첫 화면 이동 너무 느려요 .. 고장난줄 ;;; 커피가 맛있어요 커피가 맛있어요 "
크리스피크림,https://m.place.naver.com/restaurant/11730527,4.43,"1,965",대치역,"크리스피는 글레이즈드죠~
크리스마스 다가와서 그런지 포장박스 너무 귀엽네요 겨울메뉴들 너무 귀여워요 ㅎ 친절하고 매장도 넓어요 굿굿 맛있게 잘 먹었습니다
모양도 예쁘고 좋아요! 누가봐두 아는맛 맛있으요 언제먹어도 크리스피 오리지날글레이즈드도넛은 너무 맛있는것 같아요 다른 많은 도넛가게가 생겼어도 글레이즈드는 크리스피가 체고,,,, 미니언 넘 귀여워서 구입, 오리지널은 이미 솔드아웃이라 글레이즈드 사워크림 구입했구요 아메리카노와 찰떡이네요 얼마전부터 생각나 방문. 특히 첫째, 셋째 수요일은 더즌 1+1 행사가 있어 가성비 좋게 구매 가능. 일단 후식으로 1 인세트 주문. 커피맛은 그냥 그냥...하지만 도넛은 진짜 맛있음. 종류야 다양하나 역시 오리지널그레이즈드가 최고. 사람도 없어 한산해서 당분간 못 누릴 평일 오후 즐기기에 좋았음. 맛있는 도넛전문점이 많이 생겼지만 이 곳... 기본 글레이즈드 크리스피크림 맛있어요! 미니언즈 더즌 이벤트가 있는데 품절이라 참여못함 ㅜ.ㅜ 이벤트이면 뭐하나 품절이라는데. 
미니언즈 하프더즌으로 구매함 ㅜㅜ "
두루,https://m.place.naver.com/restaurant/13166113,N,N,N,N
우성김밥,https://m.place.naver.com/restaurant/11594474,0,0,대청역,김밥이 맛있어요 굿 넘 ~맜있어요^^ 좋아요 
대감왕족발,https://m.place.naver.com/restaurant/1531219789,N,N,N,N
굳,https://m.place.naver.com/restaurant/13374550,N,N,N,N
선오뎅,https://m.place.naver.com/restaurant/31549806,4.14,86,강남역,"오뎅 가성비 좋습니다. 겨울에 오뎅이 당길때 방문하심 좋을듯합니다. 장소가 좀 좁아서 2~3명 가는게 좋을듯합니
다. 어차피 3차쯤 갈테니 친절은 상관없겠죠. 요즘 볼수 없는 간이영수증 신기해서 올려봅니다~ 노래 들으면서 혼
술해도 굿일꺼 같습니다~ 협소하지만 분위기가 넘 좋아요 ! 2차 장소로 좋아요!
엄청 시끄럽지도 너무 조용하지도 않아 간단하게 오뎅과 술 마시면서 얘기하기 좋은 곳입니다. 사장님이 최악입니다 먹고있는데 그만 나가라고 합니다 기분좋은날 절대 가지마세요 기분이 잡칠수있거든요 하이볼이 진짜진짜 맛있었어요!! 부산에서 납품받은 공장 오뎅입니다. 가격 비쌉니다. 타코와사비는 얼린거 물뚝뚝 떨어지는데 줍니다. 불친절합니다. 술도 못먹는데 주문 강요합니다. 운치는 있지만 추천안합니다 해물 떡볶이 맛집 분위기 좋아요. 맛있어요. 2인이 갔고 오뎅 3꼬치 삼치구이 먹었습니다 총 25,500원 입장5:50 영업시작6시 퇴장6:45 손님오기시작하니 눈치 줘서 나옴 진짜 온마음을 다해 비추입니다 사장님이시겠죠? 진짜 불친절하시네요 오뎅하고 생선구이 부탁드렸더 니 주문받으시곤 술안마시냐고 하시더라고요 안마신다고 하니 원래 술안마시면 나가시라고 하신다고 그런... 맛잇엉ㅎ "
가로수펍,https://m.place.naver.com/restaurant/35279415,4.18,157,신사역,"가로수길 수제맥주집 요거요거 신사맥주 맛있어요! 호주에서 온 지인분이 피자도 맛있다고 칭찬하셨어요. 음악도 
분위기 있고 인테리어도 독창적? 암튼 맥주맛집 발견!!! 여자 화장실 누수가 되는지 바닥에 물이 엄청 났어요ㅠ맥주랑 피자 맛은 좋았고 런던의 펍 느낌 괜찮았네요. 나름 넓고 맥주도 다양해요. 낫배드 피자랑 감튀 둘 다 맛있어요! 맥주도 종류별로 마셔봤는데, 다 좋네요 ㅎㅎ 생각보다 피자가 맛났음 맥주 종류별로 마실 수 있고 가격도 착함 배부른 상태로 갔는데 너무 맛있게 먹었어요 실내/외 좌석이 여유있고 가성비좋게 다양한 맥주를 즐길 수 있어요. 감튀 어쩔
혼자서 다아 먹고도 남겠다용ㅎ
역시 맥주엔 감튀 😋 맛있엉 "
로즈,https://m.place.naver.com/restaurant/1638861447,0,17,수서역,"토속적인 맛이 좋아요, 육회비빔밥 꼬막비빔밥 맛있어요 ㅎㅎ 갈비탕? 갈비는 굳이 또 다시 먹고싶은 맛은 아니였어요 넘 달아요 
비빕밥류 메뉴 맛집입니다 테이블에 붙어있는 카드결제도 편하고 직원분이 너무 친절하세요! 맛있어요! 간이 세지 않아서 집밥 먹는 것 같고 질리지 않아요. 특히 삼겹살 엄청 맛있게 구워주세요^^ 아기 의자도 있고 유모차 갖고 가도 싫어하지 않으시고 서빙하는 직원분들 모두 친절하세요. 자리마다 키오스크가 있어서 주문하기도 편리해요. 양념게살비빔밥! 냉이향이 물씬나는 된장찌개에 맛있는 열무비빔밥이었습니다. 삼겹살도 냄새 안나고 맛있었구요. 삼겹살은 수육으로도 변경 가능하다네요. 사장님 엄청 친절하시네요 깔끔해보여 처음 방문했는데 돈이 아깝다는 생각이 들었습니다.우렁강된장인데 우렁은 거의 없고 찌개는 너무 짜고 구운 삼겹살은 냄새나고..이런 리뷰 안쓰는데 좀 더 신경쓰셨으면해서 글 남깁니다. 좋은 리뷰가 많더라구요 잘먹겠습니다 늘 맛있고 친절해요 처음 가봤는데 거두절미하고 일단 음식이 정말 맛있습니다 정갈하고 깔끔하고 Good !! 게다가 친절하기까지 >_< 
b 체험단 통해서 간 건데 재방문 의사 200% 담에 또 갈래요 #협찬 #권꽁치 #꽁치필름 #꽁치그라피 #수서역맛집 
#수서동맛집 #수서srt맛집 #강남된장맛집 #마마된장 자극적이지는 않습니다
사람따라 심심하다 느낄수도 "
올리브,https://m.place.naver.com/restaurant/37053426,N,N,N,N
